date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2017-07-09,1,8,3,13,8,33,10,1,2,5
2017-07-16,2,8,7,12,8,33,9,1,2,5
2017-07-23,1,5,3,12,9,34,9,1,2,4
2017-07-30,1,7,4,11,8,31,9,1,2,3
2017-08-06,1,8,4,13,8,28,9,1,2,4
2017-08-13,2,8,3,11,8,32,10,1,2,5
2017-08-20,1,6,5,10,8,26,10,1,2,3
2017-08-27,2,7,4,11,9,30,9,1,2,2
2017-09-03,3,8,4,11,11,31,9,1,2,5
2017-09-10,2,9,5,10,9,32,9,1,2,3
2017-09-17,2,9,3,11,8,33,9,1,2,2
2017-09-24,3,7,5,11,9,33,9,1,2,4
2017-10-01,2,8,6,9,9,33,10,1,2,3
2017-10-08,3,8,4,10,11,34,12,1,2,4
2017-10-15,2,10,7,10,10,32,12,1,2,2
2017-10-22,2,9,4,10,8,31,13,1,2,5
2017-10-29,3,8,6,10,7,32,13,1,2,5
2017-11-05,2,9,5,9,10,29,9,1,2,2
2017-11-12,2,8,6,11,10,30,9,1,2,7
2017-11-19,2,10,7,9,11,29,9,1,2,3
2017-11-26,2,11,4,10,9,28,9,1,2,4
2017-12-03,3,11,5,10,11,29,9,1,2,4
2017-12-10,3,12,6,10,14,32,9,1,2,5
2017-12-17,1,11,6,10,16,27,9,1,2,2
2017-12-24,1,10,7,11,12,28,10,1,2,4
2017-12-31,1,9,7,13,13,28,10,1,2,3
2018-01-07,2,14,9,12,9,32,10,1,2,4
2018-01-14,1,8,13,13,11,32,10,1,2,3
2018-01-21,2,11,16,11,8,33,10,1,2,3
2018-01-28,1,13,11,11,9,33,9,1,2,4
2018-02-04,3,12,9,12,8,31,9,1,2,3
2018-02-11,3,11,7,9,8,34,9,1,2,5
2018-02-18,2,8,11,10,10,32,9,1,2,4
2018-02-25,2,10,10,9,8,31,9,1,2,1
2018-03-04,1,8,13,10,11,35,9,1,2,3
2018-03-11,3,9,13,10,8,29,9,1,2,3
2018-03-18,3,8,11,9,9,33,9,1,2,4
2018-03-25,2,9,13,10,8,33,9,1,2,4
2018-04-01,2,9,12,11,8,31,8,1,2,3
2018-04-08,3,8,13,9,7,31,9,1,2,3
2018-04-15,3,7,15,9,8,31,9,1,2,2
2018-04-22,2,8,12,9,9,31,9,1,2,2
2018-04-29,2,6,11,10,9,29,8,1,2,2
2018-05-06,2,7,12,9,8,30,8,1,2,4
2018-05-13,2,6,13,10,6,30,8,1,2,1
2018-05-20,2,7,10,10,8,30,8,1,2,3
2018-05-27,1,6,13,13,9,33,8,1,2,6
2018-06-03,1,6,14,11,7,32,8,1,2,5
2018-06-10,1,7,12,12,9,31,9,1,2,3
2018-06-17,2,6,19,12,8,34,9,1,2,3
2018-06-24,2,7,14,12,9,31,8,1,2,3
2018-07-01,2,7,12,14,9,33,8,1,2,1
2018-07-08,1,8,15,13,7,34,9,1,2,4
2018-07-15,2,8,18,12,10,33,9,1,2,2
2018-07-22,2,6,13,12,9,33,9,1,2,4
2018-07-29,2,5,16,13,10,32,9,1,2,4
2018-08-05,1,6,18,13,9,33,9,1,2,4
2018-08-12,1,7,23,13,8,32,9,1,2,4
2018-08-19,3,7,16,12,8,32,8,1,2,2
2018-08-26,2,8,19,12,5,32,8,1,2,5
2018-09-02,2,8,19,12,9,33,9,1,2,4
2018-09-09,3,7,16,10,9,32,9,1,2,6
2018-09-16,3,10,16,12,7,37,9,1,2,3
2018-09-23,3,9,20,12,9,33,10,1,2,3
2018-09-30,3,6,17,11,9,36,10,1,5,5
2018-10-07,2,7,16,10,8,34,11,1,3,4
2018-10-14,4,10,20,10,9,33,12,1,2,2
2018-10-21,2,7,17,10,7,32,14,1,2,3
2018-10-28,2,8,21,10,7,34,14,1,3,3
2018-11-04,1,8,17,12,7,31,9,1,2,3
2018-11-11,2,11,16,11,12,31,11,1,2,4
2018-11-18,1,13,14,10,12,27,9,1,2,5
2018-11-25,3,10,17,10,11,32,9,1,2,2
2018-12-02,2,10,19,12,10,30,9,1,3,3
2018-12-09,2,10,18,11,15,27,9,1,2,3
2018-12-16,1,9,20,11,17,27,9,1,3,2
2018-12-23,1,9,20,10,15,30,9,1,2,3
2018-12-30,0,7,28,12,12,30,10,1,2,6
2019-01-06,2,8,37,11,9,32,10,1,2,3
2019-01-13,1,8,29,12,9,31,10,1,2,4
2019-01-20,2,10,32,13,9,31,10,1,2,6
2019-01-27,2,11,29,11,10,30,10,1,2,4
2019-02-03,2,8,35,11,9,32,9,1,2,2
2019-02-10,2,9,31,11,10,31,9,1,2,5
2019-02-17,3,9,34,12,9,31,9,1,4,4
2019-02-24,2,10,36,10,11,31,10,1,2,4
2019-03-03,4,9,31,10,9,31,9,1,2,5
2019-03-10,2,7,39,10,10,35,8,1,2,5
2019-03-17,1,7,38,10,8,31,8,1,2,2
2019-03-24,2,9,36,12,7,33,9,1,2,5
2019-03-31,2,8,42,9,9,33,9,1,2,1
2019-04-07,2,7,34,10,9,34,8,1,2,3
2019-04-14,2,6,35,10,7,39,9,1,2,4
2019-04-21,2,9,34,11,7,33,8,1,2,4
